Type,Primary_ID,Detail_1,Detail_2,Context/VRF,Status
Named IPV6 ACL,Inbound6,sequence 211 deny ipv6 any any log undetermined-transport,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 212 deny tcp any any eq 3389,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 213 deny tcp any any lt 1025 log,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 214 deny udp any any lt 1025 log,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 220 permit icmp any any log,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 221 permit tcp any eq www any gt 1024,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 222 permit tcp any eq 443 any gt 1024,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 223 permit tcp any eq 22 any gt 1024,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 224 permit tcp any eq ftp-data any gt 1024,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 225 permit tcp any eq nntp any gt 1024,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 226 permit tcp any eq pop3 any gt 1024,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 227 permit tcp any eq smtp any gt 1024,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 228 permit udp any eq ntp any gt 1024,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 229 permit tcp any any established,N/A,N/A,N/A
Named IPV6 ACL,Inbound6,sequence 230 permit ipv6 any any,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 1 permit udp any any eq 547,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 2 permit tcp any host 2606:4700:4700::1111 eq domain,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 3 permit udp any host 2606:4700:4700::1111 eq domain,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 4 permit tcp any host 2606:4700:4700::1001 eq domain,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 5 permit udp any host 2606:4700:4700::1001 eq domain,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 30 deny ipv6 3FFE::/16 any log,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 39 deny ipv6 FEC0::/10 any log,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 40 deny ipv6 host :: any log,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 41 deny ipv6 FC00::/7 any log,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 50 deny ipv6 host ::1 any log,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,permit icmp FE80::/10 any nd-na,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,permit icmp FE80::/10 any nd-ns,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,permit icmp FE80::/10 any router-solicitation,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,deny icmp FE80::/10 any router-advertisement,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,permit icmp any any log,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,permit tcp any gt 1024 any eq www,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,permit tcp any gt 1024 any eq 443,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,permit tcp any any established,N/A,N/A,N/A
Named IPV6 ACL,Outbound6,sequence 150 permit ipv6 any any,N/A,N/A,N/A
Named IPV6 ACL,VTY,permit ipv6 2001:db8:acad::/64 any log-input,N/A,N/A,N/A
Named IPV6 ACL,VTY,permit ipv6 2001:db8:acad:10::/64 any log-input,N/A,N/A,N/A
Named IPV6 ACL,VTY,permit ipv6 2001:db8:acad:9::/64 any log-input,N/A,N/A,N/A
Named IPV6 ACL,VTY,permit ipv6 2001:db8:acad:8::/64 any log-input,N/A,N/A,N/A
Named IPV6 ACL,VTY,deny ipv6 any any log-input,N/A,N/A,N/A
Named IPV6 ACL,verify-unicast-source,permit udp any any eq bootpc,N/A,N/A,N/A
Named IPV6 ACL,verify-unicast-source,permit udp any any eq 546,N/A,N/A,N/A
